id;account_id;cust_id;reln_id;reln_type;oper_inst;is_acct_nbr;bnd_acct_nbr;closing_id;sub_segment;branch_code;acct_status;ctry_code;acct_owners;remarks;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;Bahamian invoice;Codes;generating Buckinghamshire;Music;Borders;lavender;Rial navigating;Minnesota ;Lithuania ;Tasty Exec;hard;dep;Human Toys;port Kids;1080p Li;2022-04-03T16:57:50;Arkansas;2022-04-03T16:50:18;Wooden Leg;network
2;Investor Orchestrator;Sausages Dollar one-to-one;brand interface;compr;Yemeni;methodical;Shoes Account;matrices;Borders In;Place;adapter;Hat;Organic Keyboard;Unbranded;Product;2022-04-04T07:22:14;Senegal ;2022-04-04T08:07:37;Checking;Dam
3;service-desk Refined Outdoors;Home;Industrial;upwar;Bedfordshi;Fantastic Industrial expedite;PCI;rich Glove;Garden Int;Loan quant;auxiliary ;cus;Supervisor Vatu;Account Integration copy;context-;2022-04-04T06:26:29;virtual ;2022-04-04T03:48:59;Towels;Camp
4;Square;Car Djibouti;withdrawal deploy;Coord;primary;Buckinghamshire Administrator ;PNG violet;alarm Repr;program So;Organic Bu;Chicken So;Mor;Executive Account;Cliffs Stream invoice;firewall;2022-04-04T01:45:16;3rd Mark;2022-04-04T04:19:12;Plains;District
5;Principal;back-end Integration;Metal Associate Mississippi;Accou;Implementa;back Open-architected feed;Brand;Fundamenta;Bacon vort;SMS plug-a;web-enable;Bor;definition;Granite;transiti;2022-04-04T05:46:59;Forges;2022-04-03T12:22:51;compress;SMS teal Games
6;overriding virtual;violet Union;Investment;analy;Paradigm w;Togo;payment;infrastruc;time-frame;Response;plug-and-p;dis;Spurs forecast firewall;Card reboot edge;Poland p;2022-04-03T20:38:36;Industri;2022-04-04T04:50:28;Gorgeous;Books
7;Guadeloupe;Bedfordshire Moldovan Licensed;Stand-alone Alaska Christmas;syste;Personal;Music Aruban Vision-oriented;Handmade encoding Oval;workforce ;Seychelles;Gorgeous;copying co;Chi;Hill Plastic asynchronous;Global blue Buckinghamshire;Kids com;2022-04-03T12:29:13;Rue;2022-04-04T00:44:30;structure ;Nebraska Enhanced
8;AI Cotton;target;firewall;Check;black Hill;invoice;Intelligent;Account br;compressin;Algeria so;matrix;XSS;Wisconsin haptic Mozambique;Technician;channels;2022-04-03T22:52:32;bandwidt;2022-04-03T20:17:59;Bacon;Berkshire
9;generating;Vanuatu Burundi;Handmade Markets Corporate;trans;Account Uz;Granite Berkshire;port paradigm end-to-end;Central;Refined lo;Liberian S;maroon fle;vir;Fort Pound face;engage;Buckingh;2022-04-03T20:24:12;navigate;2022-04-04T00:36:37;Utah Home ;Computer plum
10;programming Consultant Parkways;Sausages orchestrate paradigms;monitor;vorta;Lead maxim;payment Associate deposit;connect up;navigating;invoice In;SAS;microchip ;int;Cambridgeshire THX models;withdrawal;innovate;2022-04-03T11:27:03;Account ;2022-04-03T15:35:08;integrated;systems rich primary
