id;settacc_id;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status
1;out-of-the-box Computers;deposit;Buckinghamshire Shirt;inv;Burg SMTP;azure na;2022-04-03T15:13:34;Keys fee;2022-04-03T14:19:33;Germany Ch
2;cross-platform;compress plug-a;sky;Ova;Chicken;input tr;2022-04-04T06:04:43;SDD;2022-04-03T23:49:37;orchid
3;extensible;asymmetric Fant;Refined;Sai;Lesotho;Soap cli;2022-04-03T14:55:19;object-o;2022-04-03T16:23:55;impactful 
4;Gloves withdrawal;instruction bus;revolutionize Practical;nav;solid;impactfu;2022-04-03T13:53:45;Usabilit;2022-04-03T10:13:49;deliverabl
5;open-source Games bluetooth;Games hacking;SDD Kiribati Director;cir;quantify;Electron;2022-04-04T02:15:44;Cross-pl;2022-04-03T17:12:26;Incredible
6;Synchronised Belarus;quantify Mobili;bluetooth;Ben;drive comp;protocol;2022-04-03T13:15:37;Savings ;2022-04-04T08:43:35;Gorgeous
7;parsing Jamaican Dollar;Republic back-e;Som cutting-edge;Cze;Central Dy;Reverse-;2022-04-03T20:50:29;Cambridg;2022-04-04T07:43:10;withdrawal
8;bluetooth Buckinghamshire;paradigms wirel;model Ameliorated;sys;Manors;payment ;2022-04-04T02:13:59;Brand St;2022-04-03T21:06:40;Sleek Toke
9;Granite;Avon GB Bacon;Handcrafted Streets;con;Consultant;1080p Li;2022-04-03T20:24:34;Shoes wh;2022-04-03T14:33:50;enable Sil
10;French Park synthesize;Card Automotive;experiences;Ser;Licensed r;Berkshir;2022-04-03T10:32:39;Industri;2022-04-03T17:40:38;set Lead F
