id;cust_id;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;leading-edge Republic;pixel;Metal Shoe;met;Associat;2022-04-03T21:23:53;Tonga ha;2022-04-04T03:57:54;Beauty Grocery interface;Tobago
2;Baby;users green task-force;Fresh;bac;Strategi;2022-04-04T04:08:09;intangib;2022-04-03T13:39:19;Chips;haptic
3;firewall seize Generic;port turquoise Licensed;Bedfordshi;por;clear-th;2022-04-03T15:32:11;product ;2022-04-03T19:47:30;back-end line ROI;Car Wooden mesh
4;Cotton transparent;Buckinghamshire magenta;synthesizi;col;generate;2022-04-03T13:29:38;Future;2022-04-03T13:31:02;cutting-edge ADP viral;applications Danish Brand
5;Yemeni;RSS;collaborat;Sol;Bike Isl;2022-04-03T18:56:22;green Sp;2022-04-03T22:35:01;payment;optical Money
6;withdrawal Bedfordshire revolutionary;Table Cotton Togo;grey inter;Awe;override;2022-04-03T09:19:03;Jersey L;2022-04-04T00:14:45;invoice mindshare Moldova;plum Director Configuration
7;Lithuanian navigating;Versatile;bandwidth-;Fre;Beauty i;2022-04-03T09:46:58;neural H;2022-04-03T22:52:05;Wisconsin Director;Bedfordshire copy
8;USB haptic;Extension;copy trans;Bor;mobile R;2022-04-03T10:32:22;Identity;2022-04-04T06:16:05;Alaska FTP Way;Account
9;exuding;Guadeloupe Avon;JBOD Compu;wit;e-market;2022-04-03T14:29:30;3rd User;2022-04-03T16:52:12;network;leverage Eritrea quantifying
10;Uzbekistan Table 1080p;Wooden Democratic interface;Stand-alon;Car;Liaison ;2022-04-04T01:12:12;exploit ;2022-04-03T10:41:21;Credit;cutting-edge generate generating
