id;cust_id;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;Cambridgeshire;Ferry;expedite;mic;AGP Inve;2022-04-03T09:40:54;bleeding;2022-04-04T00:58:08;firewall function Lari;FTP Keyboard
2;Account Administrator;heuristic;haptic;SDD;Loan Cam;2022-04-03T20:03:45;Mandator;2022-04-04T06:01:16;Cotton;Maryland
3;Dollar;Branch mission-critical Macao;backing;pri;invoice ;2022-04-04T04:55:15;Buckingh;2022-04-04T04:56:00;initiatives Fish online;24/365 deposit magnetic
4;rich Unbranded;Checking whiteboard;encryption;Pin;Principa;2022-04-04T08:19:39;Clothing;2022-04-03T19:01:10;copying invoice Savings;leverage Ball Books
5;payment;withdrawal Credit Bolivia;Chicken sa;Rev;Forks AD;2022-04-03T11:49:16;logistic;2022-04-03T19:08:26;Auto;fuchsia web-enabled monitor
6;Bike SQL Incredible;Kuwaiti bandwidth;Account;Cor;Security;2022-04-04T01:22:13;invoice;2022-04-03T23:35:51;iterate Practical;Shoes scale
7;payment homogeneous bleeding-edge;Forge Rubber Forward;copying;Int;Soap Tun;2022-04-03T23:41:50;clicks-a;2022-04-03T09:07:39;Rustic initiative Health;hack calculate
8;Automotive;Table Kong visualize;Future Aut;bus;auxiliar;2022-04-03T20:59:48;bifurcat;2022-04-03T08:50:25;generate;Advanced
9;synergize;Investment User-centric;Fuerte;Mou;Health B;2022-04-03T12:30:37;invoice;2022-04-03T20:44:39;multi-byte;exploit redundant
10;Borders;Cotton Steel;Borders Te;emp;Dynamic;2022-04-04T04:29:00;Synchron;2022-04-03T20:32:19;deposit;invoice Hills
