id;settacc_id;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;Beauty parsing;disintermediate;methodology withdrawal;Cus;synthesizi;Cheese c;2022-04-03T15:25:43;Highway;2022-04-03T20:40:57;Health Mau;Plastic
2;Tenge blue;matrix port Bor;parse sky;use;killer por;Senior b;2022-04-03T16:52:26;Computer;2022-04-03T16:59:26;bricks-and;Account
3;capacitor;Generic;Ariary Communications;uni;Director A;bypassin;2022-04-03T17:17:38;bus Turk;2022-04-04T03:50:28;payment;feed Executive
4;bypassing architecture;Director Granit;composite Guinea;Inv;Steel lime;Assistan;2022-04-03T11:23:23;applicat;2022-04-04T03:41:07;Soft;microchip Fall
5;upward-trending RAM;Fresh target dr;Electronics turquoise;Loa;blue servi;Missouri;2022-04-04T07:03:34;Rustic L;2022-04-04T03:08:37;Incredible;Profound non-volatile
6;Refined out-of-the-box Investor;Forward envisio;grid-enabled;Avo;Peso web S;Plaza;2022-04-03T14:13:39;cross-me;2022-04-03T20:00:38;input bus ;drive Fantastic
7;Rubber RSS systems;Eritrea;transmit Books;bus;Chips;modular;2022-04-03T08:53:34;AI Facto;2022-04-03T15:07:08;Greece;Data Tasty
8;SMTP;Jersey approach;payment Concrete Bedfordshire;Con;Practical;complexi;2022-04-03T15:32:55;leverage;2022-04-03T19:15:31;National g;indigo Refined maximize
9;Parks hub Cambridgeshire;Chicken Valleys;Response Mouse one-to-one;Buc;teal copyi;Avon red;2022-04-03T10:36:34;mobile;2022-04-04T07:53:55;Rhode Beau;Angola Account Courts
10;SSL;Cross-platform;Toys Micronesia Cotton;Ext;Mauritius;Idaho;2022-04-03T17:34:09;Grocery ;2022-04-03T21:06:21;paradigm;Yemen 24/7 multi-byte
