id;cust_id;history_ts;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status
1;matrix pixel;2022-04-04T08:34:58;Shoes;Consultant;Com;Central;2022-04-03T23:57:32;PCI depo;2022-04-03T17:38:00;Nebraska virtual
2;Engineer;2022-04-03T21:31:22;Movies;Guatemala ;enc;Plastic ;2022-04-03T13:14:44;withdraw;2022-04-03T10:10:29;Fresh
3;systematic;2022-04-04T01:48:16;Small;Mississipp;Pla;Configur;2022-04-04T01:50:39;Bike;2022-04-04T03:39:17;Handmade
4;Concrete orchid;2022-04-03T12:49:32;Self-enabling Vision-oriented ;Handmade T;hig;value-ad;2022-04-04T03:58:16;Gorgeous;2022-04-03T15:11:29;Checking
5;deposit e-tailers;2022-04-03T11:25:35;Dong virtual Steel;port Rusti;BCE;Berkshir;2022-04-03T18:05:06;Legacy E;2022-04-04T06:07:36;Distributed matrix
6;enhance Handcrafted Gorgeous;2022-04-04T03:01:04;Concrete vertical payment;generate b;inv;multi-ta;2022-04-03T09:57:02;Credit;2022-04-04T07:31:43;application Customer firmware
7;lavender Berkshire;2022-04-03T23:58:00;blue Persistent frictionless;revolution;Mil;Response;2022-04-03T13:06:17;Dinar;2022-04-04T05:11:52;Checking
8;functionalities Handmade Solutions;2022-04-03T22:40:42;Shoes Lilangeni multi-byte;holistic g;sex;Avon mic;2022-04-03T14:18:58;invoice ;2022-04-04T07:44:34;Markets Producer Coordinator
9;Bedfordshire;2022-04-04T08:26:52;array;Buckingham;whi;generate;2022-04-03T14:43:43;Up-sized;2022-04-03T11:50:35;withdrawal South Groves
10;platforms;2022-04-03T20:09:47;Cambridgeshire capacitor Marke;EXE;met;Metrics;2022-04-04T04:00:23;Executiv;2022-04-03T12:42:13;Direct azure Generic
