id;settacc_id;history_ts;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status
1;Table Persistent Computer;2022-04-03T17:39:52;red Product Hum;Focused Generic;cir;feed struc;Unbrande;2022-04-04T08:18:01;Avon Pra;2022-04-03T18:51:07;Argentina 
2;Phased Market Security;2022-04-03T11:40:19;Station Optimiz;local Shirt;Fij;copying;program ;2022-04-04T05:06:44;Jewelery;2022-04-04T06:47:43;Operations
3;Chair;2022-04-03T16:10:00;harness Legacy ;Enhanced Centralized;por;SQL;index di;2022-04-04T02:48:29;Auto pay;2022-04-04T06:33:30;invoice Pl
4;Practical Mandatory;2022-04-03T18:34:21;fuchsia open-so;portal functionalities Wall;Ang;Technician;orchid;2022-04-04T01:23:51;card Bus;2022-04-03T13:53:29;HDD
5;ROI Keyboard networks;2022-04-04T01:43:23;Mexico;withdrawal Compatible AGP;Cro;initiative;Interact;2022-04-03T19:17:26;calculat;2022-04-03T18:26:43;Chair Harb
6;Field Fantastic;2022-04-04T01:18:30;Cheese;Kiribati;tan;Handmade;THX;2022-04-03T16:26:14;Awesome ;2022-04-03T08:49:08;experience
7;Antillian;2022-04-03T18:52:23;Bahraini Puerto;pixel harness;Ida;group depo;sensor;2022-04-03T17:30:03;quantify;2022-04-03T11:08:12;Trail
8;Estonia;2022-04-03T09:33:49;proactive;regional;Com;Manor mage;optical;2022-04-04T01:21:29;Central;2022-04-04T02:49:25;Concrete
9;Iowa;2022-04-04T02:39:00;HDD Bacon drive;Rubber North tangible;Pa';Sleek;Rubber;2022-04-04T07:04:55;Harbors;2022-04-03T09:56:14;initiative
10;infrastructure generation Cambridgeshire;2022-04-03T16:11:43;Card back;analyzing;gre;Investor;Pataca M;2022-04-04T08:40:54;Rupee va;2022-04-04T01:03:24;red schema
