id;account_id;cust_id;reln_id;reln_type;oper_inst;is_acct_nbr;bnd_acct_nbr;closing_id;sub_segment;branch_code;acct_status;ctry_code;acct_owners;remarks;created_by;created_ts;updated_by;updated_ts;record_status
1;grey;Montana virtual quantify;rich Chicken Borders;Opera;users Buck;web-enabled;Pizza;Zimbabwe N;Account;black Fran;Shirt;HTT;Renminbi Tasty leverage;Hat Berkshire override;Automoti;2022-04-03T15:40:22;Wooden w;2022-04-04T01:49:14;Automotive
2;Diverse interface;hub;parse platforms;Court;Towels Dyn;models;Ruble AGP;Unit Burki;Applicatio;Rubber;Cheese;bri;value-added Account;navigate;evolve c;2022-04-04T05:26:28;Home Syn;2022-04-03T18:38:56;Mountains 
3;open-source copy architectures;ubiquitous;Investment Representative fuch;lime ;Bolivia pa;Shirt Ocean granular;reboot Dale;Leone Isla;Manager in;Global;Handcrafte;Fre;out-of-the-box;tangible;Licensed;2022-04-03T20:40:17;Identity;2022-04-03T09:42:06;monitor po
4;Manager;black Dirham;invoice needs-based;Lakes;Integratio;Self-enabling payment;Metrics grid-enabled SMS;driver Des;IB;Checking;workforce ;Bed;Product Wooden;contingency Practical;Tugrik F;2022-04-04T07:16:25;Practica;2022-04-03T08:54:49;experience
5;Money Operations;maroon;Loan Soft synthesizing;Custo;Steel Repr;synergize Keyboard;local;niches orc;collaborat;Avenue art;Legacy Cot;pol;Oklahoma Swaziland;Automotive;Dominica;2022-04-03T18:11:01;matrix c;2022-04-04T06:24:01;implement
6;white non-volatile;SQL;services needs-based deposit;drive;deposit Pl;monitor;Avon strategic Market;extensible;vertical g;Chile Acco;Cuban pane;Woo;deposit;De-engineered Cambridgeshire;Accounta;2022-04-03T15:15:22;Rustic O;2022-04-04T02:19:31;back-end Z
7;functionalities Home;hack;Persistent Handcrafted Optimiz;suppl;Associate ;Landing;Cheese;Reactive P;Wooden;Optimizati;Djibouti J;Fun;Research Architect Arizona;Australian;monitor;2022-04-03T12:33:23;azure co;2022-04-03T09:17:26;Fantastic 
8;deposit;array Face;Indiana Lev Suriname;Bucki;national b;didactic Baby Prairie;cross-media;connect;task-force;violet orc;Pizza;bes;Zealand Dalasi Small;Optimization programming interface;IB Usabi;2022-04-03T08:49:02;Sleek ca;2022-04-03T20:41:28;Cheese hap
9;Borders compressing;Metal SDD Tuna;program;matri;value-adde;metrics;cohesive Virginia;Producer C;Sleek Comp;sticky New;Consultant;Lou;Refined;mint;mindshar;2022-04-03T11:09:31;olive;2022-04-03T17:26:49;calculate 
10;Home Chicken channels;South;Alley;foreg;relationsh;Comoro Refined;invoice compress Mexico;GB enterpr;Unbranded;Quality-fo;RAM AGP op;Ric;JBOD Electronics out-of-the-box;open-source Phased Car;Turnpike;2022-04-03T16:24:24;XSS Plan;2022-04-04T06:27:48;Virginia h
